#TYPE Selected.System.Management.ManagementBaseObject
"Principal","Rights","AceFlags","AceType","ShareName"
"NT SERVICE\TrustedInstaller","FullControl","None","AccessAllowed","\\BPH-FS01\ADMIN$"
"NT AUTHORITY\SYSTEM","Modify, Synchronize","None","AccessAllowed","\\BPH-FS01\ADMIN$"
"BUILTIN\Administrators","Modify, Synchronize","None","AccessAllowed","\\BPH-FS01\ADMIN$"
"BUILTIN\Users","ReadAndExecute, Synchronize","None","AccessAllowed","\\BPH-FS01\ADMIN$"
"NT AUTHORITY\SYSTEM","FullControl","ObjectInherit, ContainerInherit, Inherited","AccessAllowed","\\BPH-FS01\BEW-84200819F0B945D1BB074906777C0292"
"BUILTIN\Administrators","FullControl","ObjectInherit, ContainerInherit, Inherited","AccessAllowed","\\BPH-FS01\BEW-84200819F0B945D1BB074906777C0292"
"BUILTIN\Users","ReadAndExecute, Synchronize","ObjectInherit, ContainerInherit, Inherited","AccessAllowed","\\BPH-FS01\BEW-84200819F0B945D1BB074906777C0292"
"BUILTIN\Users","AppendData","ContainerInherit, Inherited","AccessAllowed","\\BPH-FS01\BEW-84200819F0B945D1BB074906777C0292"
"BUILTIN\Users","CreateFiles","ContainerInherit, Inherited","AccessAllowed","\\BPH-FS01\BEW-84200819F0B945D1BB074906777C0292"
"NT AUTHORITY\SYSTEM","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\C$"
"BUILTIN\Administrators","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\C$"
"BUILTIN\Users","ReadAndExecute, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\C$"
"BUILTIN\Users","AppendData","ContainerInherit","AccessAllowed","\\BPH-FS01\C$"
"BUILTIN\Users","CreateFiles","ContainerInherit, InheritOnly","AccessAllowed","\\BPH-FS01\C$"
"BUILTIN\Administrators","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\D$"
"NT AUTHORITY\SYSTEM","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\D$"
"BUILTIN\Users","ReadAndExecute, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\D$"
"BUILTIN\Users","AppendData","ContainerInherit","AccessAllowed","\\BPH-FS01\D$"
"BUILTIN\Users","CreateFiles","ContainerInherit, InheritOnly","AccessAllowed","\\BPH-FS01\D$"
"\Everyone","ReadAndExecute, Synchronize","None","AccessAllowed","\\BPH-FS01\D$"
"BPLUSCORP\Administrator","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DEPT"
"BUILTIN\Administrators","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DEPT"
"BPLUSCORP\Domain Admins","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DEPT"
"BPLUSCORP\Domain Users","WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DEPT"
"\Everyone","ReadAndExecute, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DEPT"
"BPLUSCORP\Marketing Se","WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DEPT"
"BPLUSCORP\Administrator","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DMS"
"BUILTIN\Administrators","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DMS"
"BPLUSCORP\DMS_CHANGE","Modify, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DMS"
"BPLUSCORP\DMS_FranchiseAgreements_CHANGE","ReadAndExecute, Synchronize","ContainerInherit","AccessAllowed","\\BPH-FS01\DMS"
"NT AUTHORITY\SYSTEM","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DocumentArchive"
"BPLUSCORP\DATA_DEPT_DocumentArchive_READ","ReadAndExecute, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DocumentArchive"
"BPLUSCORP\DATA_DEPT_DocumentArchive_WRITE","Write, ReadAndExecute, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DocumentArchive"
"BPLUSCORP\DATA_DEPT_DocumentArchive_CHANGE","Modify, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DocumentArchive"
"BPLUSCORP\Administrator","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DocumentArchive"
"BUILTIN\Administrators","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\DocumentArchive"
"BPLUSCORP\Domain Admins","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\Public"
"BPLUSCORP\Domain Users","Modify, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\Public"
"BUILTIN\Administrators","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\Public"
"\Everyone","ReadAndExecute, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\Public"
"BPLUSCORP\Domain Admins","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\USERS"
"\Everyone","Read, Synchronize","None","AccessAllowed","\\BPH-FS01\USERS"
"BPLUSCORP\UserFolderAdmins","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\USERS"
"BUILTIN\Administrators","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPH-FS01\USERS"
"NT SERVICE\TrustedInstaller","FullControl","None","AccessAllowed","\\BPG-FS01\ADMIN$"
"NT AUTHORITY\SYSTEM","Modify, Synchronize","None","AccessAllowed","\\BPG-FS01\ADMIN$"
"BUILTIN\Administrators","Modify, Synchronize","None","AccessAllowed","\\BPG-FS01\ADMIN$"
"BUILTIN\Users","ReadAndExecute, Synchronize","None","AccessAllowed","\\BPG-FS01\ADMIN$"
"NT AUTHORITY\SYSTEM","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPG-FS01\C$"
"BUILTIN\Administrators","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPG-FS01\C$"
"BUILTIN\Users","ReadAndExecute, Synchronize","ObjectInherit, ContainerInherit","AccessAllowed","\\BPG-FS01\C$"
"BUILTIN\Users","AppendData","ContainerInherit","AccessAllowed","\\BPG-FS01\C$"
"BUILTIN\Users","CreateFiles","ContainerInherit, InheritOnly","AccessAllowed","\\BPG-FS01\C$"
"BUILTIN\Administrators","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPG-FS01\D$"
"NT AUTHORITY\SYSTEM","FullControl","ObjectInherit, ContainerInherit","AccessAllowed","\\BPG-FS01\D$"
